LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice
8450,7,5,2003,2003,1710,2,1,3,1,8,0,2,548,208500
9600,6,8,1976,1976,1262,2,0,3,1,6,1,2,460,181500
11250,7,5,2001,2002,1786,2,1,3,1,6,1,2,608,223500
9550,7,5,1915,1970,1717,1,0,3,1,7,1,3,642,140000
14260,8,5,2000,2000,2198,2,1,4,1,9,1,3,836,250000
14115,5,5,1993,1995,1362,1,1,1,1,5,0,2,480,143000
10084,8,5,2004,2005,1694,2,0,3,1,7,1,2,636,307000
10382,7,6,1973,1973,2090,2,1,3,1,7,2,2,484,200000
6120,7,5,1931,1950,1774,2,0,2,2,8,2,2,468,129900
7420,5,6,1939,1950,1077,1,0,2,2,5,2,1,205,118000
11200,5,5,1965,1965,1040,1,0,3,1,5,0,1,384,129500
11924,9,5,2005,2006,2324,3,0,4,1,11,2,3,736,345000
12968,5,6,1962,1962,912,1,0,2,1,4,0,1,352,144000
10652,7,5,2006,2007,1494,2,0,3,1,7,1,3,840,279500
10920,6,5,1960,1960,1253,1,1,2,1,5,1,1,352,157000
6120,7,8,1929,2001,854,1,0,2,1,5,0,2,576,132000
11241,6,7,1970,1970,1004,1,0,2,1,5,1,2,480,149000
10791,4,5,1967,1967,1296,2,0,2,2,6,0,2,516,90000
13695,5,5,2004,2004,1114,1,1,3,1,6,0,2,576,159000
7560,5,6,1958,1965,1339,1,0,3,1,6,0,1,294,139000
14215,8,5,2005,2006,2376,3,1,4,1,9,1,3,853,325300
7449,7,7,1930,1950,1108,1,0,3,1,6,1,1,280,139400
9742,8,5,2002,2002,1795,2,0,3,1,7,1,2,534,230000
4224,5,7,1976,1976,1060,1,0,3,1,6,1,2,572,129900
8246,5,8,1968,2001,1060,1,0,3,1,6,1,1,270,154000
