LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice
8450,3.5,5,2003,2003,1710,2,1,3,1,8,0,2,548,208500
9600,3.0,8,1976,1976,1262,2,0,3,1,6,1,2,460,181500
11250,3.5,5,2001,2002,1786,2,1,3,1,6,1,2,608,223500
9550,3.5,5,1915,1970,1717,1,0,3,1,7,1,3,642,140000
14260,4.0,5,2000,2000,2198,2,1,4,1,9,1,3,836,250000
14115,2.5,5,1993,1995,1362,1,1,1,1,5,0,2,480,143000
10084,4.0,5,2004,2005,1694,2,0,3,1,7,1,2,636,307000
10382,3.5,6,1973,1973,2090,2,1,3,1,7,2,2,484,200000
6120,3.5,5,1931,1950,1774,2,0,2,2,8,2,2,468,129900
7420,2.5,6,1939,1950,1077,1,0,2,2,5,2,1,205,118000
11200,2.5,5,1965,1965,1040,1,0,3,1,5,0,1,384,129500
11924,4.5,5,2005,2006,2324,3,0,4,1,11,2,3,736,345000
12968,2.5,6,1962,1962,912,1,0,2,1,4,0,1,352,144000
10652,3.5,5,2006,2007,1494,2,0,3,1,7,1,3,840,279500
10920,3.0,5,1960,1960,1253,1,1,2,1,5,1,1,352,157000
6120,3.5,8,1929,2001,854,1,0,2,1,5,0,2,576,132000
11241,3.0,7,1970,1970,1004,1,0,2,1,5,1,2,480,149000
10791,2.0,5,1967,1967,1296,2,0,2,2,6,0,2,516,90000
13695,2.5,5,2004,2004,1114,1,1,3,1,6,0,2,576,159000
7560,2.5,6,1958,1965,1339,1,0,3,1,6,0,1,294,139000
14215,4.0,5,2005,2006,2376,3,1,4,1,9,1,3,853,325300
7449,3.5,7,1930,1950,1108,1,0,3,1,6,1,1,280,139400
9742,4.0,5,2002,2002,1795,2,0,3,1,7,1,2,534,230000
4224,2.5,7,1976,1976,1060,1,0,3,1,6,1,2,572,129900
8246,2.5,8,1968,2001,1060,1,0,3,1,6,1,1,270,154000
14230,4.0,5,2007,2007,1600,2,0,3,1,7,1,3,890,256300
7200,2.5,7,1951,2000,900,1,0,3,1,5,0,2,576,134800
11478,4.0,5,2007,2008,1704,2,0,3,1,7,1,3,772,306000
16321,2.5,6,1957,1997,1600,1,0,2,1,6,2,1,319,207500
6324,2.0,6,1927,1950,520,1,0,1,1,4,0,1,240,68500
8500,2.0,4,1920,1950,1317,1,0,3,1,6,0,1,250,40000
8544,2.5,6,1966,2006,1228,1,1,3,1,6,0,1,271,149350
11049,4.0,5,2007,2007,1234,2,0,3,1,7,0,2,484,179900
10552,2.5,5,1959,1959,1700,1,1,4,1,6,1,2,447,165500
7313,4.5,5,2005,2005,1561,2,0,2,1,6,1,2,556,277500
13418,4.0,5,2004,2005,2452,3,1,4,1,9,1,3,691,309000
10859,2.5,5,1994,1995,1097,1,1,3,1,6,0,2,672,145000
8532,2.5,6,1954,1990,1297,1,0,3,1,5,1,2,498,153000
7922,2.5,7,1953,2007,1057,1,0,3,1,5,0,1,246,109000
6040,2.0,5,1955,1955,1152,2,0,2,2,6,0,0,0,82000
8658,3.0,5,1965,1965,1324,2,0,3,1,6,1,2,440,160000
16905,2.5,6,1959,1959,1328,1,1,2,1,5,2,1,308,170000
9180,2.5,7,1983,1983,884,1,0,2,1,5,0,2,504,144000
9200,2.5,6,1975,1980,938,1,0,3,1,5,0,1,308,130250
7945,2.5,6,1959,1959,1150,1,0,3,1,6,0,1,300,141000
7658,4.5,5,2005,2005,1752,2,0,2,1,6,1,2,576,319900
12822,3.5,5,2003,2003,2149,1,1,1,1,6,1,2,670,239686
11096,4.0,5,2006,2006,1656,2,0,3,1,7,0,3,826,249700
4456,2.0,5,1920,2008,1452,2,0,2,3,8,0,0,0,113000
7742,2.5,7,1966,1966,955,1,0,3,1,6,0,1,386,127000
13869,3.0,6,1997,1997,1470,2,0,3,1,6,0,2,388,177000
6240,3.0,6,1934,1950,1176,1,0,3,1,6,1,2,528,114500
8472,2.5,5,1963,1963,816,1,0,2,1,5,0,2,516,110000
50271,4.5,5,1981,1987,1842,0,1,0,1,5,1,3,894,385000
7134,2.5,5,1955,1955,1360,1,0,3,1,6,1,2,572,130000
10175,3.0,5,1964,1964,1425,2,0,3,1,7,1,2,576,180500
2645,4.0,5,1999,2000,1739,2,1,3,1,7,0,2,480,172500
11645,3.5,5,2004,2004,1720,2,1,3,1,7,0,2,565,196500
13682,5.0,5,2006,2006,2945,3,1,3,1,10,1,3,641,438780
7200,2.5,7,1972,1972,780,1,0,2,1,4,0,1,352,124900
13072,3.0,5,2004,2004,1158,1,1,3,1,5,0,2,576,158000
7200,2.5,7,1920,1996,1111,1,0,3,1,6,0,1,288,101000
6442,4.0,5,2006,2006,1370,2,0,2,1,6,1,2,484,202500
10300,3.5,6,1921,1950,1710,2,0,3,1,9,0,2,480,140000
9375,3.5,5,1997,1998,2034,2,1,3,1,8,0,2,645,219500
9591,4.0,5,2004,2005,2473,2,1,4,1,9,1,3,852,317000
19900,3.5,5,1970,1989,2207,2,0,3,1,7,1,2,576,180000
10665,3.5,5,2003,2003,1479,2,0,3,1,7,0,2,558,226000
4608,2.0,6,1945,1950,747,1,0,2,1,4,0,1,220,80000
15593,3.5,4,1953,1953,2287,2,0,3,1,7,1,2,667,225000
13651,3.5,6,1973,1973,2223,2,0,3,1,8,2,2,516,244000
7599,2.0,6,1982,2006,845,1,0,2,1,4,0,2,360,129500
10141,3.5,5,1998,1998,1718,2,1,3,1,7,1,2,427,185000
10200,2.5,7,1954,2003,1086,1,0,3,1,6,0,2,490,144900
5790,1.5,6,1915,1950,1605,2,0,3,2,8,0,1,379,107400
1596,2.0,5,1973,1973,988,1,0,2,1,5,0,1,297,91000
8475,2.0,7,1956,1956,952,1,0,2,1,4,0,1,283,135750
8635,2.5,5,1948,2001,1285,1,0,2,1,6,0,1,240,127000
10778,2.0,5,1968,1968,1768,2,0,4,2,8,0,0,0,136500
10440,2.5,6,1910,1981,1230,1,1,2,1,5,0,2,440,110000
13000,3.0,6,1968,1968,2142,2,1,4,1,8,1,1,509,193500
4500,3.0,5,1998,1998,1337,2,0,2,1,5,0,2,405,153500
10206,4.0,5,2007,2007,1563,2,0,3,1,6,1,3,758,245000
8892,2.5,5,1960,1960,1065,1,1,3,1,6,0,2,461,126500
8530,3.5,5,1995,1996,1474,2,1,3,1,7,1,2,400,168500
16059,4.0,5,1991,1992,2417,2,1,4,1,9,1,2,462,260000
11911,3.0,5,2005,2005,1560,2,1,3,1,6,1,2,400,174000
3951,3.0,5,2009,2009,1224,2,1,2,1,4,0,2,528,164500
8470,1.5,2,1915,1982,1526,1,0,2,1,6,0,0,0,85000
8070,2.0,5,1994,1995,990,1,0,3,1,5,0,0,0,123600
7200,2.0,5,1950,1950,1040,1,0,2,1,4,0,2,420,109900
8500,2.5,3,1961,1961,1235,1,0,2,1,6,0,2,480,98600
13360,2.5,7,1921,2006,964,1,0,2,1,5,0,2,432,163500
7200,3.0,6,1910,1998,2291,2,0,4,2,9,1,2,506,133900
9337,3.0,5,1997,1997,1786,2,1,3,1,7,0,2,684,204750
9765,3.0,8,1993,1993,1470,2,1,3,1,6,1,2,420,185000
10264,3.5,5,1999,1999,1588,2,0,3,1,6,0,2,472,214000
10921,2.0,5,1965,1965,960,1,0,3,1,6,0,1,432,94750
10625,2.5,5,1920,1950,835,1,0,2,1,5,0,1,366,83000
9320,2.0,5,1959,1959,1225,1,1,3,1,6,0,0,0,128950
10603,3.0,7,1977,2001,1610,2,0,3,1,6,2,2,480,205000
9206,3.0,5,1985,1985,1732,2,1,3,1,7,1,2,476,178000
7018,2.5,5,1979,1979,1535,2,0,4,2,8,0,2,410,118964
10402,3.5,5,2009,2009,1226,2,0,3,1,6,0,3,740,198900
7758,3.5,4,1931,1950,1818,1,1,4,1,7,2,1,240,169500
9375,4.0,5,2003,2004,1992,2,1,3,1,9,1,2,648,250000
10800,2.0,7,1885,1995,1047,1,0,2,1,6,0,1,273,100000
